id;cal_date;duration;remarks
1;2019-11-10T07:31:10;Afternoon1600;paradigms Home
2;2019-11-10T00:07:23;Morning1000;Designer Persistent
3;2019-11-09T16:16:25;Afternoon1600;Re-contextualized
4;2019-11-09T13:07:47;Morning0800;Solomon Islands Licensed
5;2019-11-09T12:21:28;Afternoon1400;Argentine Peso
6;2019-11-09T11:48:16;Afternoon1400;Buckinghamshire Future-proofed deposit
7;2019-11-10T04:13:12;Afternoon1400;Forint
8;2019-11-09T14:45:35;Afternoon1600;SMS Enhanced
9;2019-11-09T16:33:55;Morning1000;Borders content-based
10;2019-11-09T08:29:42;Afternoon1600;Human deposit
