id;txn_type;amount;total_amount_to_mentor;issued_time;user_id;train_record_id;remarks
1;CANCELLED;77969;59865;2019-11-09T17:03:01;15601;44583;Small
2;ISSUED;70807;65088;2019-11-10T06:52:50;5641;96990;parsing red Chips
3;ISSUED;61165;52475;2019-11-10T07:12:18;43194;2306;Namibia
4;ISSUED;36636;23277;2019-11-09T20:25:45;9060;78517;grey Cambridgeshire
5;PAID;68030;17052;2019-11-09T20:33:46;6505;1326;Usability South Dakota envisioneer
6;CANCELLED;68423;24102;2019-11-09T20:48:40;68326;12203;Buckinghamshire Games
7;CANCELLED;42515;52006;2019-11-10T02:23:03;54671;56770;Industrial
8;PAID;59789;72727;2019-11-09T09:15:00;32654;8849;sky blue Tasty Plastic Pizza
9;PAID;58675;35675;2019-11-09T08:12:31;28093;60703;bifurcated scalable
10;ISSUED;98688;42340;2019-11-09T12:50:27;39488;19871;Books
