id;status;name;commission_amount;avg_rating;start_date;end_date;remarks
1;Inactive;Internal AI optical;64203;85092;2019-11-10T06:23:08;2019-11-09T09:56:59;solid state
2;Inactive;Supervisor clear-thinking;30536;54873;2019-11-09T20:45:01;2019-11-09T15:47:58;invoice Devolved
3;Inactive;payment calculating;65761;30806;2019-11-09T18:45:56;2019-11-09T19:23:02;Berkshire
4;Inactive;Coordinator Cambridgeshire Investor;43439;79481;2019-11-10T00:00:11;2019-11-09T20:20:30;North Dakota Cambridgeshire
5;Active;local Shoes;64547;4360;2019-11-10T04:09:15;2019-11-09T08:32:09;Villages uniform PCI
6;Active;Wisconsin Facilitator Incredible;30569;38509;2019-11-10T03:49:23;2019-11-09T11:58:40;infrastructure
7;Active;Configuration UIC-Franc;57006;7041;2019-11-10T06:04:21;2019-11-10T03:23:27;Zambian Kwacha intuitive
8;Inactive;portal calculating Metal;70891;35949;2019-11-09T19:08:14;2019-11-10T01:21:31;redundant
9;Inactive;Borders;79829;19427;2019-11-09T16:48:21;2019-11-10T06:42:08;extend Unbranded Fresh Pants Tools
10;Inactive;implementation;15504;54264;2019-11-09T08:50:27;2019-11-10T01:31:40;Utah Computers Small Fresh Gloves
