id;txn_type;amount;total_amount_to_mentor;issued_time;user_id;train_record_id;remarks
1;ISSUED;77969;59865;2019-11-09T13:47:01;15601;44583;Small
2;PAID;70807;65088;2019-11-10T03:36:50;5641;96990;parsing red Chips
3;PAID;61165;52475;2019-11-10T03:56:18;43194;2306;Namibia
4;PAID;36636;23277;2019-11-09T17:09:44;9060;78517;grey Cambridgeshire
5;PAID;68030;17052;2019-11-09T17:17:45;6505;1326;Usability South Dakota envisioneer
6;PAID;68423;24102;2019-11-09T17:32:39;68326;12203;Buckinghamshire Games
7;PAID;42515;52006;2019-11-09T23:07:02;54671;56770;Industrial
8;CANCELLED;59789;72727;2019-11-09T05:58:59;32654;8849;sky blue Tasty Plastic Pizza
9;PAID;58675;35675;2019-11-09T04:56:31;28093;60703;bifurcated scalable
10;PAID;98688;42340;2019-11-09T09:34:27;39488;19871;Books
