id;cal_date;duration;remarks
1;2019-11-10T04:07:32;Afternoon1600;paradigms Home
2;2019-11-09T20:43:45;Morning0800;Designer Persistent
3;2019-11-09T12:52:47;Morning1000;Re-contextualized
4;2019-11-09T09:44:08;Afternoon1400;Solomon Islands Licensed
5;2019-11-09T08:57:49;Morning1000;Argentine Peso
6;2019-11-09T08:24:37;Afternoon1600;Buckinghamshire Future-proofed deposit
7;2019-11-10T00:49:34;Afternoon1400;Forint
8;2019-11-09T11:21:57;Afternoon1600;SMS Enhanced
9;2019-11-09T13:10:17;Morning1000;Borders content-based
10;2019-11-09T05:06:03;Afternoon1400;Human deposit
