id;status;name;commission_amount;avg_rating;start_date;end_date;remarks
1;Active;Internal AI optical;64203;85092;2019-11-10T02:59:29;2019-11-09T06:33:21;solid state
2;Inactive;Supervisor clear-thinking;30536;54873;2019-11-09T17:21:22;2019-11-09T12:24:20;invoice Devolved
3;Active;payment calculating;65761;30806;2019-11-09T15:22:17;2019-11-09T15:59:24;Berkshire
4;Active;Coordinator Cambridgeshire Investor;43439;79481;2019-11-09T20:36:32;2019-11-09T16:56:51;North Dakota Cambridgeshire
5;Active;local Shoes;64547;4360;2019-11-10T00:45:37;2019-11-09T05:08:31;Villages uniform PCI
6;Active;Wisconsin Facilitator Incredible;30569;38509;2019-11-10T00:25:44;2019-11-09T08:35:01;infrastructure
7;Active;Configuration UIC-Franc;57006;7041;2019-11-10T02:40:43;2019-11-09T23:59:48;Zambian Kwacha intuitive
8;Active;portal calculating Metal;70891;35949;2019-11-09T15:44:36;2019-11-09T21:57:53;redundant
9;Inactive;Borders;79829;19427;2019-11-09T13:24:42;2019-11-10T03:18:30;extend Unbranded Fresh Pants Tools
10;Inactive;implementation;15504;54264;2019-11-09T05:26:49;2019-11-09T22:08:02;Utah Computers Small Fresh Gloves
